"","TX_AMOUNT","TX_TIME_SECONDS","TX_TIME_DAYS","TX_FRAUD"
"110",493.57,6858247,79,"0"
"111",384.19,9124248,105,"0"
"112",678.94,3626600,41,"0"
"113",192.39,4110977,47,"0"
"114",310.75,8147068,94,"0"
"115",168.08,7370438,85,"0"
"116",820.05,4619187,53,"0"
"117",317.25,141476,1,"0"
"118",123.13,8512447,98,"0"
"119",26.22,5246519,60,"0"
"120",521.97,1412759,16,"0"
"121",80.08,6362181,73,"0"
"122",253.17,6600038,76,"0"
"123",290.82,2554545,29,"0"
"124",157.81,7488022,86,"0"
"125",337.52,800938,9,"0"
"126",463.27,3923165,45,"0"
"127",218.28,6679719,77,"0"
"128",262.13,3175166,36,"0"
"129",500.17,3995166,46,"0"
"130",462.84,982027,11,"0"
"131",125.03,6855888,79,"0"
"132",330.98,2815682,32,"0"
"133",28.01,6029142,69,"0"
"134",47.92,5207133,60,"0"
"135",637.5,7570404,87,"0"
"136",37.98,6181334,71,"0"
"137",780.92,7822963,90,"0"
"138",391.6,3763829,43,"0"
"139",452.3,1673120,19,"0"
"140",86.47,45837,0,"0"
"141",28.06,276440,3,"0"
"142",23.65,7754228,89,"0"
"143",52.08,6189566,71,"0"
"144",37.12,5207975,60,"0"
"145",99.34,8197260,94,"0"
"146",615.19,8450635,97,"0"
"147",79.73,2960425,34,"0"
"148",147.59,7652348,88,"0"
"149",412.08,621869,7,"0"
"150",416.13,5905108,68,"0"
"151",458.35,3701231,42,"0"
"152",826.69,6584205,76,"0"
"153",37.9,2791954,32,"0"
"154",472.22,5847250,67,"0"
"155",23.97,572478,6,"0"
"156",717.64,5319000,61,"0"
"157",137.27,888549,10,"0"
"158",364.29,3760527,43,"0"
"159",388.97,719901,8,"0"
"160",16.28,3466285,40,"0"
"161",425.22,7016524,81,"0"
"162",757.9,9041859,104,"0"
"163",389.23,4091772,47,"0"
"164",468.15,5946326,68,"0"
"165",47.43,6618600,76,"0"
"166",917.73,6667202,77,"0"
"167",962.97,889052,10,"0"
"168",375.08,6655244,77,"0"
"169",490.77,5387795,62,"0"
"170",1.11,1137564,13,"0"
"171",43.77,7215755,83,"0"
"172",233.27,3486861,40,"0"
"173",233.97,923477,10,"0"
"174",712.51,1941614,22,"0"
"175",30.31,812372,9,"0"
"176",735.1,4472503,51,"0"
"177",124.02,753768,8,"0"
"178",66.87,2127746,24,"0"
"179",693.89,2480545,28,"0"
"180",302.33,2094994,24,"0"
"181",355.86,6804172,78,"0"
"182",371.5,6159609,71,"0"
"183",463.87,3413203,39,"0"
"184",197.18,2553691,29,"0"
"185",685.46,8965604,103,"0"
"186",215.18,8682178,100,"0"
"187",430.71,6522497,75,"0"
"188",10.44,8165065,94,"0"
"189",380.19,7629801,88,"0"
"190",244.7,8790896,101,"0"
"191",556.02,8948110,103,"0"
"192",300.8,7039263,81,"0"
"193",709.28,2981980,34,"0"
"194",21.59,7451555,86,"0"
"195",927.45,6462118,74,"0"
"196",28.42,2627377,30,"0"
"197",50.1,8780499,101,"0"
"198",263.9,4025128,46,"0"
"199",704.75,1674810,19,"0"
"200",809.11,7715453,89,"0"
"201",173.8,5905386,68,"0"
"202",168.12,6098075,70,"0"
"203",925,4612472,53,"0"
"204",524.49,6255916,72,"0"
"205",487.1,6356122,73,"0"
"206",899.2,7502767,86,"0"
"207",53.21,1161454,13,"0"
"208",918.22,8159256,94,"0"
"209",131.54,652116,7,"0"
"210",235,7842313,90,"0"
"211",811.78,8583652,99,"0"
"212",57.45,1917674,22,"0"
"213",895.04,3675887,42,"0"
"214",421.02,546724,6,"0"
"215",151.11,8435860,97,"0"
"216",173.97,4705617,54,"0"
"217",506.9,146228,1,"0"
"218",419.06,5939016,68,"0"
"219",165.06,7368127,85,"0"
"220",66.09,9170997,106,"0"
"221",274.79,2887022,33,"0"
"222",463.76,136431,1,"0"
"223",95.09,4427880,51,"0"
"224",763.29,4656104,53,"0"
"225",642.7,227507,2,"0"
"226",133.29,3726273,43,"0"
"227",391.47,3402878,39,"0"
"228",309.75,6444239,74,"0"
"229",275.44,4911399,56,"0"
"230",7.74,7396752,85,"0"
"231",494.84,3413450,39,"0"
"232",693.12,6954610,80,"0"
"233",38.84,2124610,24,"0"
"234",17.23,2341396,27,"0"
"235",163.37,6444531,74,"0"
"236",61.05,7815483,90,"0"
"237",73.6,8242263,95,"0"
"238",74.36,1683355,19,"0"
"239",957.7,8011760,92,"0"
"240",541.77,5212685,60,"0"
"241",401.72,5151169,59,"0"
"242",408.84,8669316,100,"0"
"243",239.55,4444372,51,"0"
"244",988.92,649218,7,"0"
"245",184.31,1711871,19,"0"
"246",77.5,2458542,28,"0"
"247",122.57,4610208,53,"0"
"248",235.79,2249114,26,"0"
"249",997.07,5016010,58,"0"
"250",434.63,4946792,57,"0"
"251",68.86,8582315,99,"0"
"252",719.52,4459401,51,"0"
"253",177.49,6632203,76,"0"
"254",408.3,6884784,79,"0"
"255",30.53,7938699,91,"0"
"256",492.3,539791,6,"0"
"257",852.85,5084510,58,"0"
"258",54.11,2283685,26,"0"
"259",129.99,6874986,79,"0"
"260",970.67,7898638,91,"0"
"261",959.69,490332,5,"0"
"262",259.39,5983106,69,"0"
"263",633.03,2534941,29,"0"
"264",54.47,6950682,80,"0"
"265",214.65,1333967,15,"0"
"266",411.86,1092074,12,"0"
"267",136.78,2110482,24,"0"
"268",933.39,3418830,39,"0"
"269",147.17,3751986,43,"0"
"270",952.79,6764791,78,"0"
"271",27.49,5868431,67,"0"
"272",712.5,7662475,88,"0"
"273",109.43,4138624,47,"0"
"274",412.65,361631,4,"0"
"275",531.97,2737320,31,"0"
"276",456.45,6622656,76,"0"
"277",174.88,1694680,19,"0"
"278",382.18,5223006,60,"0"
"279",132.28,7181606,83,"0"
"280",320.06,5774953,66,"0"
"281",522.32,7035964,81,"0"
"282",320.69,5295702,61,"0"
"283",359.31,2619343,30,"0"
"284",41.54,8512384,98,"0"
"285",110.6,2381425,27,"0"
"286",372.99,3513458,40,"0"
"287",223.46,760022,8,"0"
"288",551.84,7808752,90,"0"
"289",20.67,7046529,81,"0"
"290",226.39,8330974,96,"0"
"291",195.12,4414652,51,"0"
"292",399.31,30139,0,"0"
"293",633.27,1851786,21,"0"
"294",304.12,1614740,18,"0"
"295",965.2,7115864,82,"0"
"296",236.46,9215776,106,"0"
"297",327.1,7911485,91,"0"
"298",9.48,3857540,44,"0"
"299",151.1,3853955,44,"0"
"300",191.02,2472278,28,"0"
"301",263.52,8317322,96,"0"
"302",184.18,5246023,60,"0"
"303",472.3,7438875,86,"0"
"304",516,6286829,72,"0"
"305",431.44,3243596,37,"0"
"306",177.54,1590003,18,"0"
"307",826.54,6002335,69,"0"
"308",178.53,2459782,28,"0"
"309",32.9,5116454,59,"0"
"310",406.35,362383,4,"0"
"311",14.98,8439316,97,"0"
"312",564.37,4695505,54,"0"
"313",978.95,8076892,93,"0"
"314",167.84,2977557,34,"0"
"315",775.92,4787415,55,"0"
"316",910.43,7332305,84,"0"
"317",442.64,4794074,55,"0"
"318",218.12,5499139,63,"0"
"319",39.14,469676,5,"0"
"320",12.61,5816671,67,"0"
"321",135.34,5197676,60,"0"
"322",413.9,8568409,99,"0"
"323",276.08,7747170,89,"0"
"324",84.7,5301366,61,"0"
"325",80.67,6617010,76,"0"
"326",813.12,8039732,93,"0"
"327",106.4,2055738,23,"0"
"328",339.79,4275926,49,"0"
"329",799.59,2211026,25,"0"
"330",322.48,7638996,88,"0"
"331",124.28,5904261,68,"0"
"332",824.75,653224,7,"0"
"333",249.25,6402865,74,"0"
"334",30.19,1311702,15,"0"
"335",223.02,7487448,86,"0"
"336",53.12,3331331,38,"0"
"337",470.88,6796874,78,"0"
"338",112.86,3919783,45,"0"
"339",23.04,8417296,97,"0"
"340",349.21,2036831,23,"0"
"341",535.68,6520423,75,"0"
"342",654.74,4878367,56,"0"
"343",602.08,4692407,54,"0"
"344",200.23,9275222,107,"0"
"345",251.01,7389235,85,"0"
"346",764.92,2202764,25,"0"
"347",846.63,6274334,72,"0"
"348",647.12,5500544,63,"0"
"349",745.87,5384296,62,"0"
"350",969.86,205098,2,"0"
"351",111.83,101820,1,"0"
"352",237.19,2394635,27,"0"
"353",173.49,4220308,48,"0"
"354",749.71,5557409,64,"0"
"355",123.72,3932571,45,"0"
"356",161.91,6783943,78,"0"
"357",538.53,5897192,68,"0"
"358",146.34,8179084,94,"0"
"359",188.84,5574467,64,"0"
"360",255.65,49917,0,"0"
"361",237.71,5994789,69,"0"
"362",157.71,9301004,107,"0"
"363",287.87,8018947,92,"0"
"364",424.15,7783151,90,"0"
"365",228.38,7122280,82,"0"
"366",635.38,9013131,104,"0"
"367",904.34,7027450,81,"0"
"368",148.6,5600733,64,"0"
"369",244.79,6997013,80,"0"
"370",594.15,8230885,95,"0"
"371",578.87,3328862,38,"0"
"372",976.98,5664594,65,"0"
"373",318.47,2910392,33,"0"
"374",219.18,1576579,18,"0"
"375",761.19,969226,11,"0"
"376",261.42,8455011,97,"0"
"377",119.92,2290501,26,"0"
"378",804.1,27850,0,"0"
"379",58.46,8911950,103,"0"
"380",133.5,2973445,34,"0"
"381",935.51,574464,6,"0"
"382",391.74,3635134,42,"0"
"383",444.19,7759138,89,"0"
"384",198.31,324117,3,"0"
"385",805.09,9374427,108,"0"
"386",771.32,9169297,106,"0"
"387",72.94,6184518,71,"0"
"388",169.21,412240,4,"0"
"389",636.78,4507446,52,"0"
"390",12.69,3331671,38,"0"
"391",181.92,7700980,89,"0"
"392",72.92,5010847,57,"0"
"393",168.27,1050485,12,"0"
"394",508.82,847008,9,"0"
"395",362.24,7928783,91,"0"
"396",918.87,3343827,38,"0"
"397",279.96,9131599,105,"0"
"398",18.07,581391,6,"0"
"399",104.04,3836428,44,"0"
"400",104.62,7637530,88,"0"
"401",19.01,362076,4,"0"
"402",679.41,5918962,68,"0"
"403",66.72,8329334,96,"0"
"404",768.42,2737971,31,"0"
"405",776.41,7551785,87,"0"
"406",508.71,6898118,79,"0"
"407",134.68,6891743,79,"0"
"408",511.37,8315262,96,"0"
"409",444.43,4537407,52,"0"
"410",18.08,7380944,85,"0"
"411",91.86,1278261,14,"0"
"412",985.82,20070,0,"0"
"413",500,7185615,83,"0"
"414",190.22,4960266,57,"0"
"415",152.54,7904206,91,"0"
"416",388.84,8957653,103,"0"
"417",146.3,7135969,82,"0"
"418",13.3,3167055,36,"0"
"419",527.7,3400619,39,"0"
"420",419.24,6785891,78,"0"
"421",601.42,5226159,60,"0"
"422",303.69,5863643,67,"0"
"423",508.97,3156705,36,"0"
"424",72.01,2607984,30,"0"
"425",26.8,8934355,103,"0"
"426",338.26,9276871,107,"0"
"427",493.7,6586587,76,"0"
"428",136.29,9200374,106,"0"
"429",275.13,3669341,42,"0"
"430",234.3,2639872,30,"0"
"431",866.82,3402096,39,"0"
"432",64.07,1340763,15,"0"
"433",24.5,5864618,67,"0"
"434",40.33,8163282,94,"0"
"435",69.1,2262590,26,"0"
"436",472.54,4554683,52,"0"
"437",900.29,5816440,67,"0"
"438",50.17,2189210,25,"0"
"439",508.3,8781511,101,"0"
"440",220.11,7117689,82,"0"
"441",158.77,5944534,68,"0"
"442",499.87,4384583,50,"0"
"443",912.18,6491563,75,"0"
"444",991.01,7031132,81,"0"
"445",506.79,7131096,82,"0"
"446",205.37,4521833,52,"0"
"447",980.04,1960850,22,"0"
"448",454.24,3680338,42,"0"
"449",616.02,3576573,41,"0"
"450",98.41,1158947,13,"0"
"451",342.56,644883,7,"0"
"452",120.49,7099547,82,"0"
"453",67.69,4559810,52,"0"
"454",204.01,316138,3,"0"
"455",877.86,1429547,16,"0"
"456",374.42,7315471,84,"0"
"457",90.85,3178214,36,"0"
"458",907.7,8519097,98,"0"
"459",338.51,1768924,20,"0"
"460",296.01,6244094,72,"0"
"461",512.19,993739,11,"0"
"462",705.43,8443470,97,"0"
"463",244.48,8937231,103,"0"
"464",522.6,8788105,101,"0"
"465",37.69,3313813,38,"0"
"466",863.17,7410004,85,"0"
"467",226.44,8261194,95,"0"
"468",386.78,5170116,59,"0"
"469",196.34,8576200,99,"0"
"470",21.74,6372149,73,"0"
"471",486.03,2111902,24,"0"
"472",142.68,805093,9,"0"
"473",97.02,1267003,14,"0"
"474",30.88,1787085,20,"0"
"475",218.46,5575346,64,"0"
"476",146.21,2984329,34,"0"
"477",750.59,8407712,97,"0"
"478",843.69,7544370,87,"0"
"479",907.76,6028130,69,"0"
"480",597.23,7121625,82,"0"
"481",689.66,6522689,75,"0"
"482",438.68,5345065,61,"0"
"483",172.38,1958484,22,"0"
"484",803.8,4614777,53,"0"
"485",978.55,6080140,70,"0"
"486",87.45,7767105,89,"0"
"487",547.83,4577246,52,"0"
"488",473.5,2944599,34,"0"
"489",390.11,3849930,44,"0"
"490",14.14,997923,11,"0"
"491",253.35,3572769,41,"0"
"492",637.69,8959690,103,"0"
"493",108.56,2823850,32,"0"
"494",87.87,8265800,95,"0"
"495",384.62,2353518,27,"0"
"496",355.32,4369404,50,"0"
"497",697.9,3769577,43,"0"
"498",216.19,6775559,78,"0"
"499",354.54,2148012,24,"0"
"500",114.21,3639350,42,"0"
"501",662.01,3751946,43,"0"
"502",160.76,3763364,43,"0"
"503",759.85,4384680,50,"0"
"504",536.32,343723,3,"0"
"505",522.87,7026359,81,"0"
"506",859.36,1108885,12,"0"
"507",451.17,211813,2,"0"
"508",437.16,4790495,55,"0"
"509",490.97,6283651,72,"0"
"510",103.87,9219752,106,"0"
"511",272.32,1140648,13,"0"
"512",794.96,6603468,76,"0"
"513",356.5,2537502,29,"0"
"514",62.51,1331354,15,"0"
"515",389.24,7537161,87,"0"
"516",20.62,5322779,61,"0"
"517",930.39,8965013,103,"0"
"518",629.23,4471457,51,"0"
"519",846.65,2224566,25,"0"
"520",225.54,7727435,89,"0"
"521",197.47,3879755,44,"0"
"522",860.67,5500701,63,"0"
"523",854.02,3225766,37,"0"
"524",844.98,6442509,74,"0"
"525",243.25,212711,2,"0"
"526",432.41,2015452,23,"0"
"527",281.19,3486756,40,"0"
"528",192.67,3771177,43,"0"
"529",976.39,560102,6,"0"
"530",51.03,1688784,19,"0"
"531",573.88,9041850,104,"0"
"532",401.95,2923024,33,"0"
"533",42.25,6843238,79,"0"
"534",124.68,837705,9,"0"
"535",597.37,3857630,44,"0"
"536",118.14,3954209,45,"0"
"537",812.78,8939363,103,"0"
"538",135.71,2820491,32,"0"
"539",5.51,1632137,18,"0"
"540",262.35,4686252,54,"0"
"541",979.73,6440771,74,"0"
"542",727.76,811437,9,"0"
"543",13.44,904517,10,"0"
"544",78.39,9361614,108,"0"
"545",170.11,2103214,24,"0"
"546",544.72,5639207,65,"0"
"547",853.51,2752260,31,"0"
"548",691.82,5806109,67,"0"
"549",623.39,3516244,40,"0"
"550",636.18,4440458,51,"0"
"551",268.79,2818517,32,"0"
"552",169.75,2468868,28,"0"
"553",62.95,3314091,38,"0"
"554",623.02,3323548,38,"0"
"555",13.9,7427204,85,"0"
"556",538.18,2101773,24,"0"
"557",265.39,2205361,25,"0"
"558",73.57,1432840,16,"0"
"559",387.37,8884415,102,"0"
"560",381.23,6692257,77,"0"
"561",774.39,2776069,32,"0"
"562",241.96,8862980,102,"0"
"563",998.16,6495553,75,"0"
"564",90.76,1730612,20,"0"
"565",900.69,235014,2,"0"
"566",664.87,3294179,38,"0"
"567",569.37,8322134,96,"0"
"568",509.67,2519194,29,"0"
"569",570.69,8958647,103,"0"
"570",28.55,6712254,77,"0"
"571",565.52,4157942,48,"0"
"572",361.44,3062721,35,"0"
"573",224.24,229128,2,"0"
"574",169.52,9360399,108,"0"
"575",636.47,295113,3,"0"
"576",599.65,6514863,75,"0"
"577",70.78,4209631,48,"0"
"578",747.83,3668276,42,"0"
"579",885.81,3152985,36,"0"
"580",13.92,556281,6,"0"
"581",522.21,8838653,102,"0"
"582",235.3,7131612,82,"0"
"583",376.82,7042423,81,"0"
"584",886.29,2914348,33,"0"
"585",184.31,6090408,70,"0"
"586",385.04,8006855,92,"0"
"587",717.07,9225664,106,"0"
"588",571.57,6531565,75,"0"
"589",619.87,4511373,52,"0"
"590",397.16,1920469,22,"0"
"591",327.14,3156502,36,"0"
"592",437.38,6763931,78,"0"
"593",18.57,4082419,47,"0"
"594",259.89,286051,3,"0"
"595",181.3,4427317,51,"0"
"596",280.23,4897508,56,"0"
"597",22.94,5209377,60,"0"
"598",992.67,3049457,35,"0"
"599",928.45,719108,8,"0"
"600",300.01,6561987,75,"0"
"601",777.12,1617148,18,"0"
"602",172.69,2269302,26,"0"
"603",236.46,9215776,106,"0"
"604",752.62,360657,4,"0"
"605",262.77,1316664,15,"0"
"606",262.75,1696259,19,"0"
"607",575.51,6468692,74,"0"
"608",111.83,7474215,86,"0"
"609",641.48,7374264,85,"0"
"610",187.62,3096076,35,"0"
"611",744.77,1623183,18,"0"
"612",200.59,2173607,25,"0"
"613",729.11,3316034,38,"0"
"614",253.48,2541735,29,"0"
"615",231.26,5914996,68,"0"
"616",588.45,7297910,84,"0"
"617",10.09,1812609,20,"0"
"618",324.2,1763120,20,"0"
"619",400.76,2373094,27,"0"
"620",288.46,6025780,69,"0"
"621",459.41,3804078,44,"0"
"622",269.65,4874662,56,"0"
"623",48.4,1874182,21,"0"
"624",382.34,6518743,75,"0"
"625",664.21,5937784,68,"0"
"626",119.74,5845499,67,"0"
"627",453.63,1420221,16,"0"
"628",260.65,6641242,76,"0"
"629",394.57,1750695,20,"0"
"630",396.36,6372694,73,"0"
"631",285.54,7907792,91,"0"
"632",370.08,6751956,78,"0"
"633",444.32,2119414,24,"0"
"634",390.9,8091868,93,"0"
"635",599.54,4714740,54,"0"
"636",474.71,2113770,24,"0"
"637",7.27,4211260,48,"0"
"638",818.2,7742475,89,"0"
"639",577.91,2302223,26,"0"
"640",306.99,3613212,41,"0"
"641",357.09,1266643,14,"0"
"642",432.29,7959792,92,"0"
"643",185.63,2178181,25,"0"
"644",748.22,2737486,31,"0"
"645",470.91,2622242,30,"0"
"646",797.95,7807564,90,"0"
"647",10.93,911462,10,"0"
"648",529.21,9187724,106,"0"
"649",144.19,7735000,89,"0"
"650",132.9,2198724,25,"0"
"651",28.86,5394967,62,"0"
"652",575.87,1247589,14,"0"
"653",91.63,25003,0,"0"
"654",918.18,3579140,41,"0"
"655",232.39,132341,1,"0"
"656",78.9,8242244,95,"0"
"657",671.04,5309711,61,"0"
"658",40.06,5560104,64,"0"
"659",112.91,6279747,72,"0"
"660",880.24,393896,4,"0"
"661",332.47,6626457,76,"0"
"662",451.83,8927458,103,"0"
"663",252.16,7109989,82,"0"
"664",435.1,3681576,42,"0"
"665",120.1,1691732,19,"0"
"666",663.57,614961,7,"0"
"667",476.29,4710082,54,"0"
"668",344.98,493932,5,"0"
"669",440.47,6683731,77,"0"
"670",603.59,296545,3,"0"
"671",551.3,3357964,38,"0"
"672",506.05,3049386,35,"0"
"673",218.59,6937871,80,"0"
"674",531.44,6192088,71,"0"
"675",916.87,1591411,18,"0"
"676",829.3,1512035,17,"0"
"677",293.7,8451667,97,"0"
"678",470.76,6117772,70,"0"
"679",504.25,6777463,78,"0"
"680",383.57,3356087,38,"0"
"681",460.82,6196025,71,"0"
"682",328.8,9135660,105,"0"
"683",441.51,8352252,96,"0"
"684",944.12,8790710,101,"0"
"685",51.8,711068,8,"0"
"686",834.4,9006587,104,"0"
"687",349.08,1582301,18,"0"
"688",206.63,2063615,23,"0"
"689",50.26,6355397,73,"0"
"690",348.62,6037950,69,"0"
"691",491.75,5296911,61,"0"
"692",542.55,8266906,95,"0"
"693",546.18,1155906,13,"0"
"694",489.56,6931144,80,"0"
"695",217.31,5674569,65,"0"
"696",341.32,3846247,44,"0"
"697",810.4,792080,9,"0"
"698",174.17,3529229,40,"0"
"699",49.82,77756,0,"0"
"700",8.82,3635076,42,"0"
"701",650.77,8979072,103,"0"
"702",345.32,5285784,61,"0"
"703",946.39,8844110,102,"0"
"704",525,379529,4,"0"
"705",83.7,8562449,99,"0"
"706",454.06,4631382,53,"0"
"707",14.4,8350047,96,"0"
"708",956.4,8844527,102,"0"
"709",483.29,655241,7,"0"
"710",71.1,1101989,12,"0"
"711",575.46,7655206,88,"0"
"712",289.79,4689331,54,"0"
"713",359.29,6518753,75,"0"
"714",239.73,1437050,16,"0"
"715",105.5,4338125,50,"0"
"716",529.98,6335920,73,"0"
"717",204.15,2390764,27,"0"
"718",54.7,7334364,84,"0"
"719",605.57,8428284,97,"0"
"720",62.63,2924310,33,"0"
"721",131.16,2100114,24,"0"
"722",330.98,2815682,32,"0"
"723",597.97,6786885,78,"0"
"724",108.41,7869450,91,"0"
"725",143.39,1071526,12,"0"
"726",633.24,113597,1,"0"
"727",826.04,6233045,72,"0"
"728",34.57,3074254,35,"0"
"729",577.75,548876,6,"0"
"730",364.7,8272567,95,"0"
"731",770.16,8587361,99,"0"
"732",715.98,3678786,42,"0"
"733",506.63,1979832,22,"0"
"734",430.73,1096244,12,"0"
"735",730.36,951079,11,"0"
"736",62.79,7858771,90,"0"
"737",452.75,579933,6,"0"
"738",23.97,1609793,18,"0"
"739",948.27,6062147,70,"0"
"740",607.75,705754,8,"0"
"741",681.14,7369866,85,"0"
"742",547.82,5375580,62,"0"
"743",230.07,4108957,47,"0"
"744",175.84,3607862,41,"0"
"745",134.77,4369929,50,"0"
"746",673.84,6403592,74,"0"
"747",13.51,5983957,69,"0"
"748",291.57,6306547,72,"0"
"749",252.65,4545700,52,"0"
"750",197.43,3952725,45,"0"
"751",364.08,1418019,16,"0"
"752",223.23,3510826,40,"0"
"753",233.71,333977,3,"0"
"754",57.48,2976890,34,"0"
"755",916.02,5332008,61,"0"
"756",106.17,60194,0,"0"
"757",27.51,8091234,93,"0"
"758",701.7,3616520,41,"0"
"759",198.23,5678632,65,"0"
"760",826.56,5654911,65,"0"
"761",740.24,1065957,12,"0"
"762",310.31,7667100,88,"0"
"763",192.12,9414447,108,"0"
"764",682.4,3554538,41,"0"
"765",78.28,7204655,83,"0"
"766",790.79,224605,2,"0"
"767",396,4179284,48,"0"
"768",541.04,4873111,56,"0"
"769",589.71,5913650,68,"0"
"770",991.94,7500039,86,"0"
"771",39.76,1241579,14,"0"
"772",426.74,7741163,89,"0"
"773",581.17,6075569,70,"0"
"774",224.91,6609357,76,"0"
"775",674.45,8002528,92,"0"
"776",815.86,188915,2,"0"
"777",784.47,2198299,25,"0"
"778",393.64,8677197,100,"0"
"779",737.04,3617602,41,"0"
"780",320.53,3345345,38,"0"
"781",537.81,3261588,37,"0"
"782",29.63,3816117,44,"0"
"783",322.41,5112014,59,"0"
"784",788.43,9281039,107,"0"
"785",751.96,6613211,76,"0"
"786",138.54,7989207,92,"0"
"787",79.13,5248761,60,"0"
"788",32.88,6616514,76,"0"
"789",268.33,9107040,105,"0"
"790",214.35,2618280,30,"0"
"791",269.67,8263564,95,"0"
"792",809.85,445661,5,"0"
"793",47.61,7365533,85,"0"
"794",893.5,4807653,55,"0"
"795",738.52,8505997,98,"0"
"796",874.08,1234939,14,"0"
"797",7.11,725903,8,"0"
"798",109.3,121173,1,"0"
"799",420.91,298943,3,"0"
"800",177.68,1151175,13,"0"
"801",321.95,979805,11,"0"
"802",820,2007658,23,"0"
"803",66.46,7739443,89,"0"
"804",895.21,2397085,27,"0"
"805",284.53,7916815,91,"0"
"806",492.39,560280,6,"0"
"807",939.57,6329601,73,"0"
"808",672.59,8340490,96,"0"
"809",313.65,4982392,57,"0"
"810",2.23,7320325,84,"0"
"811",232,5313322,61,"0"
"812",470.95,1148709,13,"0"
"813",503.05,6203672,71,"0"
"814",370.19,4882215,56,"0"
"815",577.57,2986594,34,"0"
"816",377.84,5640819,65,"0"
"817",230.47,3073644,35,"0"
"818",936.96,6880618,79,"0"
"819",312.56,233251,2,"0"
"820",507.53,5701797,65,"0"
"821",397.22,6765931,78,"0"
"822",64.17,1054769,12,"0"
"823",18.47,6212983,71,"0"
"824",570.04,4623017,53,"0"
